Year,Month,Day,Flag Tsunami,Flag Earthquake,Volcano Name,Location,Country,Elevation,Volcano Type,Status,Volcanic Explosivity Index,Volcano : Deaths,Volcano : Deaths Description,Volcano : Missing,Volcano : Missing Description,Volcano : Injuries,Volcano : Injuries Description,Volcano : Damage (in M$),Volcano : Damage Description,Volcano : Houses destroyed,Volcano : Houses destroyed Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Coordinates,Earthquakes : Houses damaged Description,Total Effects : Houses Damaged Description
2017,12,18,,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,,8,Few (~1 to 50 deaths),,,8.0,Few (~1 to 50 deaths),,,,,8,Few (~1 to 50 deaths),,,8.0,Few (~1 to 50 deaths),,,,,-7542,110442,
-1610,,,Tsunami,Earthquake,Santorini,Greece,Greece,329,Shield volcano,Historical,7,,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,36404,25396,
-150,,,,,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,270,Complex volcano,Historical,,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,-2.38,147.35,
-100,,,,,Okmok,Aleutian Is,United States,1073,Shield volcano,Historical,6,,,,,,,,,,,,,,,,,,,,,53.42,-168.13,
1341,5,19,,,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,3,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.98,-19.7,
1430,,,,,Kuwae,Vanuatu-SW Pacific,Vanuatu,-2,Caldera,Historical,,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,-16829,168536,
1510,7,25,,,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,4,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,63.98,-19.7,
1580,,,,,Billy Mitchell,Bougainville-SW Paci,Papua New Guinea,1544,Pyroclastic shield,Radiocarbon,6,,,,,,,,,,,,,,,,,,,,,-6092,155225,
1698,,,,,Cereme,Java,Indonesia,3078,Stratovolcano,Historical,3,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-6892,108.4,
1716,9,24,Tsunami,Earthquake,Taal,Luzon-Philippines,Philippines,400,Stratovolcano,Historical,4,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),14002,120993,
1717,8,27,,,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,3,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,14473,-90.88,
1721,5,11,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,5,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.63,-19.05,
1819,,,Tsunami,,Asuncion,Mariana Is-C Pacific,United States,857,Stratovolcano,Historical,,,,,,,,,,,,,,,,,,,,,,19.67,145.4,
1845,2,19,,,Ruiz,Colombia,Colombia,5321,Stratovolcano,Historical,3,1000,Many (~101 to 1000 deaths),,,,,,,,,1000,Many (~101 to 1000 deaths),,,,,,,,,4895,-75322,
1895,10,16,,,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,2,4,Few (~1 to 50 deaths),,,,,,,,,4,Few (~1 to 50 deaths),,,,,,,,,31.93,130.87,
1901,8,9,Tsunami,Earthquake,Epi,Vanuatu-SW Pacific,Vanuatu,833,Stratovolcano,Historical,,,,,,,,,,,,,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,,-16.68,168.37,
1907,7,,Tsunami,Earthquake,Unnamed,Tonga-SW Pacific,Tonga,-500,Submarine volcano,Historical,0,,,,,,,,,,,,,,,,,,,,,-21.38,-175.65,
1928,3,28,Tsunami,,Krakatau,Indonesia,Indonesia,813,Caldera,Historical,,,,,,,,,,,,,,,,,,,,,,-6102,105423,
1940,7,24,,,Lengai, Ol Doinyo,Africa-E,Tanzania,2890,Stratovolcano,Historical,2,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-2751,35902
1946,2,,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,2,6,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),81,Some (~51 to 100 houses),6,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),81,Some (~51 to 100 houses),-8108,112.92,
1953,3,23,,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,3,64,Some (~51 to 100 deaths),,,57.0,Some (~51 to 100 deaths),,MODERATE (~$1 to $5 million),144,Many (~101 to 1000 houses),64,Some (~51 to 100 deaths),,,57.0,Some (~51 to 100 deaths),,MODERATE (~$1 to $5 million),144,Many (~101 to 1000 houses),-7542,110442,
1954,7,21,,,Tate-yama,Honshu-Japan,Japan,2621,Stratovolcano,Historical,,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,36.57,137.6,
1961,8,18,,,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,36.4,138.53,
1962,6,29,,,Tokachi,Hokkaido-Japan,Japan,2077,Stratovolcano,Historical,3,5,Few (~1 to 50 deaths),,,11.0,Few (~1 to 50 deaths),,,,,5,Few (~1 to 50 deaths),,,11.0,Few (~1 to 50 deaths),,,,,43.42,142.68,
1963,5,16,,Earthquake,Agung,Lesser Sunda Is,Indonesia,3142,Stratovolcano,Historical,3,120,Some (~51 to 100 deaths),,,,,,,,,120,Some (~51 to 100 deaths),,,,,,,,,-8342,115508,
1969,3,21,Tsunami,,Didicas,Luzon-N of,Philippines,244,Compound volcano,Historical,2,,,,,,,,,,,3,Few (~1 to 50 deaths),,,,,,,,,19077,122202,
1997,4,17,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784,Stratovolcano,Historical,1,3,Few (~1 to 50 deaths),,,,,,,,,3,Few (~1 to 50 deaths),,,,,,,,,2.78,125.48,
2000,7,27,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,3,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,-8108,112.92,
2009,11,30,,,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,MODERATE (~$1 to $5 million),,,19425,-155292,
2011,1,3,,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,,1,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,1,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,-7542,110442,
-1900,,,,,Black Peak,Alaska Peninsula,United States,1032,Stratovolcano,Radiocarbon,6,,,,,,,,,,,,,,,,,,,,,56.53,-158.8,
1477,2,,,,Bardarbunga,Iceland-NE,Iceland,2000,Stratovolcano,Historical,6,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,64.63,-17.53,
1597,,,,,Raung,Java,Indonesia,3332,Stratovolcano,Historical,3,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-8125,114042,
1673,5,20,Tsunami,,Gamkonora,Halmahera-Indonesia,Indonesia,1635,Stratovolcano,Historical,5,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,Many (~101 to 1000 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),1375,127.52,
1754,5,13,Tsunami,Earthquake,Taal,Luzon-Philippines,Philippines,400,Stratovolcano,Historical,4,12,Few (~1 to 50 deaths),,,,,,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),12,Few (~1 to 50 deaths),,,,,,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),14002,120993,
1768,4,4,,,Cotopaxi,Ecuador,Ecuador,5911,Stratovolcano,Historical,4,,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,-677,-78436,
1792,5,21,Tsunami,Earthquake,Unzen,Kyushu-Japan,Japan,1500,Complex volcano,Historical,2,,Few (~1 to 50 deaths),,,,,,,,,15000,Very Many (~1001 or more deaths),,,707.0,Many (~101 to 1000 deaths),,EXTREME (~$25 million or more),6200,Very Many (~1001 or more houses),32.75,130.3,
1814,2,1,,,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,4,1200,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),1200,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),13257,123685,
1815,4,10,Tsunami,,Tambora,Lesser Sunda Is,Indonesia,2850,Stratovolcano,Historical,7,11000,Very Many (~1001 or more deaths),,,,Very Many (~1001 or more deaths),,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),60000,Very Many (~1001 or more deaths),,,,Very Many (~1001 or more deaths),,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),-8.25,118.0,
1818,2,5,,,Colima,Mexico,Mexico,3850,Stratovolcano,Historical,4,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,19514,-103.62,
1854,6,27,Tsunami,,Alaid,Kuril Is,Russia,2339,Stratovolcano,Historical,3,,,,,,,,,,,,,,,,,,,,,50858,155.55,
1863,8,17,Tsunami,Earthquake,Yasur,Vanuatu-SW Pacific,Vanuatu,361,Stratovolcano,Historical,,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,-19.52,169425,
1872,4,15,,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,4,30,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,,50,Few (~1 to 50 houses),30,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,,50,Few (~1 to 50 houses),-7542,110442,
1884,2,,Tsunami,,Krakatau,Indonesia,Indonesia,813,Caldera,Historical,,,,,,,,,,,,,,,,,,,,,,-6102,105423,
1888,3,13,Tsunami,,Ritter Island,New Guinea-NE of,Papua New Guinea,140,Stratovolcano,Historical,3,,,,,,,,,,,,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),-5.52,148121,
1888,7,15,,,Bandai,Honshu-Japan,Japan,1819,Stratovolcano,Historical,4,461,Many (~101 to 1000 deaths),,,70.0,Some (~51 to 100 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),461,Many (~101 to 1000 deaths),,,70.0,Some (~51 to 100 deaths),,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),37.6,140.08,
1913,6,23,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,2,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-8108,112.92,
1916,3,3,,,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,4,,,,,,,,,,,,,,,,,,,,,-1467,-78442,
1920,7,25,,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,3,33,Few (~1 to 50 deaths),,,,,,,,,33,Few (~1 to 50 deaths),,,,,,,,,-7542,110442,
1946,10,29,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,2,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-8108,112.92,
1948,4,7,,,Iliwerung,Lesser Sunda Is,Indonesia,1018,Complex volcano,Historical,2,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,MODERATE (~$1 to $5 million),,,-8.54,123.59,
1950,9,15,,,Camiguin,Mindanao-Philippines,Philippines,1332,Stratovolcano,Historical,3,68,Some (~51 to 100 deaths),,,,,,,,,68,Some (~51 to 100 deaths),,,,,,,,,9203,124673,
1950,9,23,,,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,2,1,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,Few (~1 to 50 houses),1,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,Few (~1 to 50 houses),36.4,138.53,
1951,8,3,Tsunami,Earthquake,Cosiguina,Nicaragua,Nicaragua,872,Stratovolcano,Historical,,,,,,,,,,,,,,,,,,,SEVERE (~>$5 to $24 million),,Some (~51 to 100 houses),12.98,-87.57,
1956,3,30,Tsunami,,Bezymianny,Kamchatka,Russia,2882,Stratovolcano,Historical,5,,,,,,,,,,,,,,,,,,,,,55978,160587,
1958,10,7,Tsunami,,Kuwae,Vanuatu-SW Pacific,Vanuatu,-2,Caldera,Historical,2,,,,,,,,,,,,,,,,,,,,,-16829,168536,
1967,8,31,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,3,3,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,3,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,-8108,112.92,
1974,8,9,,,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,3,5,Few (~1 to 50 deaths),,,,,,,,,5,Few (~1 to 50 deaths),,,,,,,,,31.58,130.67,
1979,2,20,,,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,1,149,Many (~101 to 1000 deaths),,,,,,,,,149,Many (~101 to 1000 deaths),,,,,,,,,-7.2,109.92,
1984,9,9,,,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,3,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,13257,123685,
1988,5,9,,,Banda Api,Banda Sea,Pacific Ocean,640,Caldera,Historical,3,4,Few (~1 to 50 deaths),,,,,,,,,4,Few (~1 to 50 deaths),,,,,,,,,-4525,129871,
1993,6,13,,,Krakatau,Indonesia,Indonesia,813,Caldera,Historical,1,1,Few (~1 to 50 deaths),,,5.0,Few (~1 to 50 deaths),,,,,1,Few (~1 to 50 deaths),,,5.0,Few (~1 to 50 deaths),,,,,-6102,105423,
1996,1,2,Tsunami,,Karymsky,Kamchatka,Russia,1536,Stratovolcano,Historical,2,,,,,,,,,,,,,,,,,,,,,54.05,159.43,
1997,12,26,Tsunami,,Soufriere Hills,W Indies,Montserrat,915,Stratovolcano,Historical,,,,,,,,,,,,,,,,,,,,,,16.72,-62.18,
2006,6,7,,,Bulusan,Luzon-Philippines,Philippines,1565,Stratovolcano,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,12.77,124.05,
2007,3,,,,Manam,New Guinea-NE of,Papua New Guinea,1807,Stratovolcano,Historical,4,4,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,4,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,-4.1,145061,
2007,9,30,,,Tair, Jebel at,Red Sea,Yemen,244,Stratovolcano,Historical,,7,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,7,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,,,,15.7,41742
2011,1,28,,,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,,,,,,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,,,,,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,,31.93,130.87,
2012,12,12,,,Tolbachik,Kamchatka,Russia,3682,Shield volcano,Historical,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,55.83,160.33,
2018,4,28,Tsunami,Earthquake,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,1,,,,,1.0,Few (~1 to 50 deaths),370.0,EXTREME (~$25 million or more),716,Many (~101 to 1000 houses),,,,,1.0,Few (~1 to 50 deaths),370,EXTREME (~$25 million or more),716,Many (~101 to 1000 houses),19425,-155292,
2020,5,29,Tsunami,Earthquake,Ijen,Java,Indonesia,2799,Stratovolcano,Historical,,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-8058,114242,
-197,,,Tsunami,Earthquake,Santorini,Greece,Greece,329,Shield volcano,Historical,3,,,,,,,,,,,,,,,,,,,,,36404,25396,
60,,,,,Bona-Churchill,Alaska-E,United States,5005,Stratovolcano,Radiocarbon,6,,,,,,,,,,,,,,,,,,,,,61.38,-141.75,
1631,12,16,Tsunami,Earthquake,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,5,4000,Very Many (~1001 or more deaths),,,,,,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),4000,Very Many (~1001 or more deaths),,,,,,EXTREME (~$25 million or more),,Very Many (~1001 or more houses),40821,14426,
1682,8,12,,,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,3,4,Few (~1 to 50 deaths),,,,,,,,,4,Few (~1 to 50 deaths),,,,,,,,,40821,14426,
1757,7,9,,Earthquake,San Jorge,Azores,Portugal,1053,Fissure vent,Historical,0,,,,,,,,,,,1053,Very Many (~1001 or more deaths),,,,,,SEVERE (~>$5 to $24 million),,Very Many (~1001 or more houses),38.65,-28.08,
1812,4,27,,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,1220,Stratovolcano,Historical,4,56,Some (~51 to 100 deaths),,,,,,,,,56,Some (~51 to 100 deaths),,,,,,,,,13.33,-61.18,
1827,8,9,,,Avachinsky,Kamchatka,Russia,2741,Stratovolcano,Historical,2,,,,,,,,,,,,,,,,,,,,,53255,158.83,
1846,5,27,,,Tangkubanparahu,Java,Indonesia,2084,Stratovolcano,Historical,2,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-6.77,107.6,
1856,9,25,,,Komaga-take,Hokkaido-Japan,Japan,1140,Stratovolcano,Historical,4,20,Few (~1 to 50 deaths),,,,,,,,Many (~101 to 1000 houses),20,Few (~1 to 50 deaths),,,,,,,,Many (~101 to 1000 houses),42.07,140.68,
1883,10,6,Tsunami,,Augustine,Alaska-SW,United States,1252,Lava dome,Historical,4,8,Few (~1 to 50 deaths),,,,,,,,,8,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),59.37,-153.42,
1914,1,12,Tsunami,Earthquake,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,4,28,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),0.04,LIMITED (roughly corresponding to less than $1 million),2148,Very Many (~1001 or more houses),63,Some (~51 to 100 deaths),,,112.0,Many (~101 to 1000 deaths),19,SEVERE (~>$5 to $24 million),2268,Very Many (~1001 or more houses),31.58,130.67,
1919,5,22,Tsunami,,Stromboli,Italy,Italy,926,Stratovolcano,Historical,3,4,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,LIMITED (roughly corresponding to less than $1 million),10,Few (~1 to 50 houses),4,Few (~1 to 50 deaths),,,,Many (~101 to 1000 deaths),,LIMITED (roughly corresponding to less than $1 million),10,Few (~1 to 50 houses),38789,15213,
1927,9,5,,,Esjufjoll,Iceland-SE,Iceland,1760,Stratovolcano,Historical,1,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,64.27,-16.65,
1944,3,27,,,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,2,27,Few (~1 to 50 deaths),,,,,,,,,27,Few (~1 to 50 deaths),,,,,,,,,40821,14426,
1949,6,,,,Camiguin,Mindanao-Philippines,Philippines,1332,Stratovolcano,Historical,3,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,9203,124673,
1953,3,25,Tsunami,,Myojun Knoll,Izu Is-Japan,Japan,360,Submarine volcano,Holocene,2,,,,,,,,,,,,,,,,,,,,,32.1,139.85,
1968,7,29,,,Arenal,Costa Rica,Costa Rica,1657,Stratovolcano,Historical,3,80,Some (~51 to 100 deaths),,,,,,,,,80,Some (~51 to 100 deaths),,,,,,,,,10463,-84703,
1972,10,2,,,Hakone,Honshu-Japan,Japan,1438,Complex volcano,Radiocarbon,,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,35.22,139.02,
1981,4,27,,,Alaid,Kuril Is,Russia,2339,Stratovolcano,Historical,2,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,50858,155.55,
1990,11,25,,,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,,4,Few (~1 to 50 deaths),,,,,,,,,4,Few (~1 to 50 deaths),,,,,,,,,-7.93,112308,
1997,8,1,,,Soufriere Hills,W Indies,Montserrat,915,Stratovolcano,Historical,3,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,16.72,-62.18,
2002,,,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,3,3,Few (~1 to 50 deaths),,,,,,,,,3,Few (~1 to 50 deaths),,,,,,,,,-8108,112.92,
2006,8,17,,,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,3,5,Few (~1 to 50 deaths),,Some (~51 to 100 deaths),13.0,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),6,Few (~1 to 50 deaths),,Some (~51 to 100 deaths),,Some (~51 to 100 deaths),,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),-1467,-78442,
-3580,,,,,Taal,Luzon-Philippines,Philippines,400,Stratovolcano,Historical,6,,,,,,,,,,,,,,,,,,,,,14002,120993,
-2040,,,,,Long Island,New Guinea-NE of,Papua New Guinea,1280,Complex volcano,Historical,6,,,,,,,,,,,,,,,,,,,,,-5358,147.12,
653,,,,,Dakataua,New Britain-SW Pac,Papua New Guinea,400,Caldera,Anthropology,6,,,,,,,,,,,,,,,,,,,,,-5056,150108,
683,,,,,Rabaul,New Britain-SW Pac,Papua New Guinea,688,Pyroclastic shield,Historical,6,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,-4271,152203,
950,,,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,63.63,-19.05,
1580,5,1,,,San Jorge,Azores,Portugal,1053,Fissure vent,Historical,3,10,Few (~1 to 50 deaths),,,,,,,,,10,Few (~1 to 50 deaths),,,,,,,,,38.65,-28.08,
1581,12,26,,,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,4,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,14473,-90.88,
1608,7,18,Tsunami,,Gamalama,Halmahera-Indonesia,Indonesia,1715,Stratovolcano,Historical,3,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,0.8,127325,
1625,9,2,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,5,,,,,,,,,,,,,,,,,,,,,63.63,-19.05,
1660,2,,,,Teon,Banda Sea,Pacific Ocean,655,Stratovolcano,Historical,4,3,Few (~1 to 50 deaths),,,,,,,,,3,Few (~1 to 50 deaths),,,,,,,,,-6.92,129125,
1773,2,2,,,Gamalama,Halmahera-Indonesia,Indonesia,1715,Stratovolcano,Historical,2,,Some (~51 to 100 deaths),,,,,,,,,,Some (~51 to 100 deaths),,,,,,,,,0.8,127325,
1779,8,8,,,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,2,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,40821,14426,
1801,7,,,,Chokai,Honshu-Japan,Japan,2237,Stratovolcano,Historical,2,8,Few (~1 to 50 deaths),,,,,,,,,8,Few (~1 to 50 deaths),,,,,,,,,39.08,140.03,
1804,,,,,Shikotsu,Hokkaido-Japan,Japan,1320,Caldera,Historical,3,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,42.7,141.33,
1820,3,1,Tsunami,Earthquake,Westdahl,Aleutian Is,United States,1654,Stratovolcano,Historical,2,,,,,,,,,,,,,,,,,,,,,54.52,-164.65,
1845,9,2,,,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,4,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.98,-19.7,
1867,10,21,,,Zao,Honshu-Japan,Japan,1841,Complex volcano,Historical,2,3,Few (~1 to 50 deaths),,,,,,,,,3,Few (~1 to 50 deaths),,,,,,,,,38.15,140.45,
1870,,,,,Aoba,Vanuatu-SW Pacific,Vanuatu,1496,Shield volcano,Historical,2,,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),-15.4,167.83,
1910,3,20,,,Taupo,New Zealand,New Zealand,760,Caldera,Radiocarbon,,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-38.82,176.0,
1952,3,27,,,Hakone,Honshu-Japan,Japan,1438,Complex volcano,Radiocarbon,,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,35.22,139.02,
1953,4,27,,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,2,6,Few (~1 to 50 deaths),,,,,,,,,6,Few (~1 to 50 deaths),,,,,,,,,32.88,131.1,
1963,3,17,,,Irazu,Costa Rica,Costa Rica,3432,Stratovolcano,Historical,3,15,Few (~1 to 50 deaths),,,,,,,,,15,Few (~1 to 50 deaths),,,,,,,,,9979,-83852,
1974,10,17,Tsunami,,Ritter Island,New Guinea-NE of,Papua New Guinea,140,Stratovolcano,Historical,1,,,,,,,,,,,,,,,,,,,,,-5.52,148121,
1986,10,15,,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-7542,110442,
1987,1,25,,,Pacaya,Guatemala,Guatemala,2552,Complex volcano,Historical,3,,,,,15.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),63,Some (~51 to 100 houses),,,,,15.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),63,Some (~51 to 100 houses),14381,-90601,
1990,6,24,,,Rabaul,New Britain-SW Pac,Papua New Guinea,688,Pyroclastic shield,Historical,,6,Few (~1 to 50 deaths),,,,,,,,,6,Few (~1 to 50 deaths),,,,,,,,,-4271,152203,
1993,10,4,,,Pinatubo,Luzon-Philippines,Philippines,1486,Stratovolcano,Historical,,14,Few (~1 to 50 deaths),,,,,,,,,14,Few (~1 to 50 deaths),,,,,,,,,15.13,120.35,
